"Damage","Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.047272,-0.076206,1.8585,0.0082959,1.009,-0.18376,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0,0,0.06,0
0.047611,-0.076344,1.8567,0.0082973,1.0092,-0.18406,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.0005,0.0005,0.06,0
0.047949,-0.076483,1.855,0.0082988,1.0093,-0.18435,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.001,0.001,0.06,0
0.048287,-0.076621,1.8532,0.0083003,1.0095,-0.18465,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.0015,0.0015,0.06,0
0.048625,-0.07676,1.8515,0.0083017,1.0096,-0.18495,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.002,0.002,0.06,0
0.048963,-0.076898,1.8497,0.0083032,1.0097,-0.18525,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.0025,0.0025,0.06,0
0.049302,-0.077036,1.848,0.0083047,1.0099,-0.18554,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.003,0.003,0.06,0
0.04964,-0.077175,1.8462,0.0083061,1.01,-0.18584,0.096057,-0.0032597,-0.0010903,-0.63416,0.46892,0.015136,-0.00044493,0.00083252,-0.052365,1,0.0035,0.0035,0.06,0
0.050141,-0.077294,1.8443,0.0083066,1.0097,-0.18614,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.004,0.004,0.06,0
0.05069,-0.077409,1.8422,0.0083067,1.0092,-0.18644,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.0045,0.0045,0.06,0
0.051238,-0.077523,1.8402,0.0083068,1.0087,-0.18673,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.005,0.005,0.06,0
0.051786,-0.077637,1.8382,0.008307,1.0083,-0.18703,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.0055,0.0055,0.06,0
0.052334,-0.077751,1.8362,0.0083071,1.0078,-0.18733,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.006,0.006,0.06,0
0.052883,-0.077865,1.8342,0.0083073,1.0074,-0.18763,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.0065,0.0065,0.06,0
0.053431,-0.077979,1.8321,0.0083074,1.0069,-0.18792,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.007,0.007,0.06,0
0.053979,-0.078093,1.8301,0.0083076,1.0064,-0.18822,0.13193,0.026514,0.001711,-0.70099,0.60568,-0.0072631,0.00011874,-0.00067651,0.051824,1,0.0075,0.0075,0.06,0
0.054514,-0.078207,1.8281,0.0083097,1.006,-0.18852,0.11552,0.010223,0.0025881,-0.68518,0.59054,-0.0088161,0.0030423,0.00010345,0.0023039,1,0.008,0.008,0.06,0
