"Damage","Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99599,-0.0052622,0.76517,-0.0013862,187.69,-0.21975,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0,0,0,0
0.99622,-0.0052917,0.76783,-0.0013993,192.9,-0.25696,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.0005,0.0005,0,0
0.99645,-0.0053212,0.77049,-0.0014123,198.1,-0.29417,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.001,0.001,0,0
0.99668,-0.0053508,0.77315,-0.0014253,203.3,-0.33138,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.0015,0.0015,0,0
0.99691,-0.0053803,0.77581,-0.0014384,208.51,-0.36859,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.002,0.002,0,0
0.99714,-0.0054098,0.77846,-0.0014514,213.71,-0.40579,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.0025,0.0025,0,0
0.99737,-0.0054393,0.78112,-0.0014645,218.91,-0.443,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.003,0.003,0,0
0.9976,-0.0054688,0.78378,-0.0014775,224.12,-0.48021,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.0035,0.0035,0,0
0.99783,-0.0054983,0.78644,-0.0014905,229.32,-0.51742,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.004,0.004,0,0
0.99806,-0.0055278,0.7891,-0.0015036,234.52,-0.55463,4.5311e-06,5.4466e-08,4.8066e-08,8.2942e-06,0.00060658,-7.3157e-05,6.0477e-08,2.6211e-06,3.9937e-06,1,0.0045,0.0045,0,0
0.99828,-0.0055566,0.79187,-0.0015133,239.25,-0.5892,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.005,0.005,0,0
0.9984,-0.005573,0.79658,-0.001466,235.78,-0.57851,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.0055,0.0055,0,0
0.99852,-0.0055894,0.80129,-0.0014187,232.31,-0.56782,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.006,0.006,0,0
0.99864,-0.0056057,0.806,-0.0013713,228.84,-0.55714,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.0065,0.0065,0,0
0.99876,-0.0056221,0.81071,-0.001324,225.37,-0.54645,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.007,0.007,0,0
0.99888,-0.0056385,0.81542,-0.0012767,221.9,-0.53576,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.0075,0.0075,0,0
0.999,-0.0056548,0.82013,-0.0012294,218.43,-0.52507,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.008,0.008,0,0
0.99913,-0.0056712,0.82484,-0.001182,214.96,-0.51438,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.0085,0.0085,0,0
0.99925,-0.0056876,0.82955,-0.0011347,211.49,-0.5037,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.009,0.009,0,0
0.99937,-0.0057039,0.83426,-0.0010874,208.02,-0.49301,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.0095,0.0095,0,0
0.99949,-0.0057203,0.83897,-0.0010401,204.55,-0.48232,2.6483e-07,-4.1675e-09,-2.5295e-08,2.9652e-06,0.00011899,-1.6875e-05,2.611e-08,3.6376e-07,2.1777e-07,1,0.01,0.01,0,0
