"Damage","Displacement:0","Displacement:1","Displacement:2","Pressure","F33","J","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.76303,0.36336,0,-3.0821e-10,1,1,9.0471e-10,-9.0465e-10,0,-9.0466e-10,9.0462e-10,0,0,0,0,1,0,-3,2e-06,0
0,0.76303,0.36336,0,-9.4725e-11,1,1,3.0389e-09,-1.8821e-09,0,-1.8821e-09,1.3235e-10,0,0,0,0,1,0.0030019,-2.997,1.998e-06,0
0,0.76303,0.36336,0,8.6399e-10,1,1,4.4459e-09,1.314e-09,0,1.314e-09,-1.6951e-09,0,0,0,0,1,0.0060041,-2.994,1.996e-06,0
0,0.76303,0.36336,0,3.0521e-09,1,1,4.6475e-11,3.2197e-10,0,3.2196e-10,3.1365e-10,0,0,0,0,1,0.009006,-2.991,1.994e-06,0
0,0.76303,0.36336,0,7.153e-09,1,1,-1.4705e-08,5.6389e-09,0,5.639e-09,-2.9425e-09,0,0,0,0,1,0.012008,-2.988,1.992e-06,0
0,0.76303,0.36336,0,1.2974e-08,1,1,-2.9326e-08,4.4952e-09,0,4.4953e-09,1.1546e-09,0,0,0,0,1,0.01501,-2.985,1.99e-06,0
0,0.76303,0.36336,0,2.0913e-08,1,1,-6.1561e-08,9.8476e-09,0,9.8479e-09,-3.8795e-09,0,0,0,0,1,0.018012,-2.982,1.988e-06,0
0,0.76303,0.36336,0,3.0373e-08,1,1,-8.2245e-08,1.0904e-08,0,1.0904e-08,-2.4738e-09,0,0,0,0,1,0.021014,-2.979,1.986e-06,0
0,0.76303,0.36336,0,4.1016e-08,1,1,-1.3269e-07,1.0765e-08,0,1.0766e-08,2.106e-09,0,0,0,0,1,0.024016,-2.976,1.984e-06,0
0,0.76303,0.36336,0,5.3325e-08,1,1,-1.5551e-07,1.2051e-08,0,1.2051e-08,-3.3967e-09,0,0,0,0,1,0.027018,-2.973,1.982e-06,0
0,0.76303,0.36336,0,6.6496e-08,1,1,-2.1239e-07,1.2533e-08,0,1.2534e-08,-3.0483e-09,0,0,0,0,1,0.03002,-2.97,1.98e-06,0
0,0.76303,0.36336,0,8.0648e-08,1,1,-2.4282e-07,1.263e-08,0,1.2631e-08,-3.2564e-09,0,0,0,0,1,0.033022,-2.967,1.978e-06,0
0,0.76303,0.36336,0,9.5245e-08,1,1,-3.0587e-07,1.2968e-08,0,1.2969e-08,-2.511e-09,0,0,0,0,1,0.036024,-2.964,1.976e-06,0
0,0.76303,0.36336,0,1.1048e-07,1,1,-3.4296e-07,1.5755e-08,0,1.5757e-08,4.9076e-09,0,0,0,0,1,0.039026,-2.961,1.974e-06,0
0,0.76303,0.36336,0,1.2607e-07,1,1,-4.0954e-07,1.6638e-08,0,1.664e-08,5.5579e-09,0,0,0,0,1,0.042028,-2.958,1.972e-06,0
0,0.76303,0.36336,0,1.4186e-07,1,1,-4.3873e-07,1.2558e-08,0,1.256e-08,-1.4912e-09,0,0,0,0,1,0.04503,-2.955,1.97e-06,0
0,0.76303,0.36336,0,1.5736e-07,1,1,-5.0976e-07,1.8459e-08,0,1.8461e-08,6.9627e-09,0,0,0,0,1,0.048032,-2.952,1.968e-06,0
