"Damage","Displacement:0","Displacement:1","Displacement:2","Pressure","F33","J","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.27247,0.77504,0.35843,0,-0.02753,0.98986,0.95837,-0.0011131,-0.00051879,0,-0.00012777,0.029556,0,0,0,0,1,0,-3,0.01,0
0.27207,0.77501,0.35847,0,-0.026729,0.99016,0.75818,-0.0014559,-0.0023286,0,-0.0019896,0.029373,0,0,0,0,1,0.003,-2.997,0.01001,0
0.27167,0.77498,0.35849,0,-0.026182,0.99037,0.84405,2.5844e-06,-0.0023895,0,-0.0021596,0.027789,0,0,0,0,1,0.0060001,-2.994,0.01002,0
0.27144,0.77495,0.35851,0,-0.026151,0.99035,0.85351,-0.001004,-0.0012435,0,-0.0010916,0.025993,0,0,0,0,1,0.0090001,-2.991,0.01003,0
0.27287,0.77492,0.35852,0,-0.027012,0.99007,0.94167,0.00030029,-0.0015746,0,-0.0014467,0.026834,0,0,0,0,1,0.012,-2.988,0.01004,0
0.27089,0.77489,0.35852,0,-0.026786,0.99008,0.82387,0.00063854,-0.0013051,0,-0.0012205,0.026364,0,0,0,0,1,0.015,-2.985,0.01005,0
0.27018,0.77487,0.35853,0,-0.02687,0.99006,0.87233,0.0014071,-0.0015551,0,-0.0014892,0.026475,0,0,0,0,1,0.018,-2.982,0.01006,0
0.27092,0.77485,0.35853,0,-0.0281,0.98963,0.91075,0.0022782,-0.0012288,0,-0.0011763,0.026749,0,0,0,0,1,0.021,-2.979,0.01007,0
0.27079,0.77482,0.35853,0,-0.029189,0.98923,1.0601,0.0020788,-0.00080666,0,-0.00075343,0.028513,0,0,0,0,1,0.024,-2.976,0.01008,0
0.27002,0.7748,0.35854,0,-0.029352,0.98915,0.87281,0.0030526,-0.00058425,0,-0.00054017,0.027499,0,0,0,0,1,0.027,-2.973,0.01009,0
0.26943,0.77478,0.35854,0,-0.029382,0.98911,0.54903,0.0034561,-0.00077966,0,-0.00075724,0.027159,0,0,0,0,1,0.03,-2.97,0.0101,0
0.26943,0.77476,0.35854,0,-0.029626,0.98905,0.89095,0.003656,-2.4004e-05,0,4.3821e-06,0.027076,0,0,0,0,1,0.033,-2.967,0.01011,0
0.26925,0.77474,0.35854,0,-0.029584,0.98903,0.76307,0.0043465,-0.00040252,0,-0.00038979,0.026566,0,0,0,0,1,0.036,-2.964,0.01012,0
0.26808,0.77472,0.35854,0,-0.029616,0.98903,0.79079,0.0043214,-0.00038945,0,-0.00038004,0.02686,0,0,0,0,1,0.039,-2.961,0.01013,0
0.26767,0.7747,0.35854,0,-0.029955,0.9889,0.77012,0.0042941,-0.00041836,0,-0.00041783,0.027097,0,0,0,0,1,0.042,-2.958,0.01014,0
0.26712,0.77468,0.35854,0,-0.029955,0.9889,0.9189,0.0047208,-0.00010181,0,-9.9653e-05,0.027152,0,0,0,0,1,0.045,-2.955,0.01015,0
0.26603,0.77467,0.35854,0,-0.029597,0.98902,0.86468,0.0048778,0.00017966,0,0.0001832,0.026337,0,0,0,0,1,0.048,-2.952,0.01016,0
0.26593,0.77465,0.35854,0,-0.02991,0.98891,0.71327,0.0053817,-0.00087205,0,-0.00090444,0.026809,0,0,0,0,1,0.051,-2.949,0.01017,0
0.26533,0.77463,0.35854,0,-0.030356,0.98872,0.80022,0.0049995,-0.00088894,0,-0.00091986,0.027889,0,0,0,0,1,0.054,-2.946,0.01018,0
0.26718,0.77461,0.35853,0,-0.031711,0.98827,0.84164,0.0058555,-0.00044509,0,-0.00047609,0.0279,0,0,0,0,1,0.057,-2.943,0.01019,0
0.2693,0.7746,0.35853,0,-0.033156,0.98782,0.85985,0.0065698,-0.0008983,0,-0.00095117,0.028187,0,0,0,0,1,0.06,-2.94,0.0102,0
0.27206,0.77458,0.35852,0,-0.035049,0.9871,0.84319,0.0073651,-0.0020146,0,-0.0021065,0.029952,0,0,0,0,1,0.063,-2.937,0.01021,0
0.27674,0.77457,0.35851,0,-0.038119,0.98598,0.79443,0.0070587,-0.0015751,0,-0.0016332,0.032451,0,0,0,0,1,0.066,-2.934,0.01022,0
0.28695,0.77454,0.35849,0,-0.042987,0.98464,0.84941,0.0077562,-0.0012614,0,-0.0013515,0.034203,0,0,0,0,1,0.069,-2.931,0.01023,0
0.29873,0.77452,0.35849,0,-0.045782,0.98385,0.80043,0.0079887,0.00015921,0,0.00010796,0.035373,0,0,0,0,1,0.072,-2.928,0.01024,0
0.31164,0.7745,0.35849,0,-0.046293,0.9832,1.0866,0.0090536,0.001757,0,0.001766,0.03364,0,0,0,0,1,0.075,-2.925,0.01025,0
0.32044,0.77449,0.3585,0,-0.0447,0.98353,1.331,0.0079988,0.0019282,0,0.0019597,0.031695,0,0,0,0,1,0.078001,-2.922,0.01026,0
0.3278,0.77447,0.35851,0,-0.044326,0.98409,1.5341,0.0089355,0.0019218,0,0.0019712,0.029546,0,0,0,0,1,0.081001,-2.919,0.01027,0
0.33113,0.77446,0.35852,0,-0.042772,0.98458,1.4956,0.0076594,0.00080973,0,0.00083895,0.028359,0,0,0,0,1,0.084001,-2.916,0.01028,0
0.33434,0.77444,0.35852,0,-0.043143,0.98471,1.5053,0.0082524,0.00086638,0,0.00090362,0.02764,0,0,0,0,1,0.087,-2.913,0.01029,0
