"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.001445,0.097142,0,0.99698,-0.0060698,3.8858e-05,0.0026964,0,-0.0032115,0.017273,0,0,0,0,1,0,0,0.54,0
0.64,-0.001452,0.097137,0,0.99686,-0.006312,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.00255,0.00255,0.54,0
0.64,-0.0014591,0.097131,0,0.99674,-0.0065542,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.0051,0.0051,0.54,0
0.64,-0.0014662,0.097126,0,0.99663,-0.0067964,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.00765,0.00765,0.54,0
0.64,-0.0014733,0.097121,0,0.99651,-0.0070386,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.0102,0.0102,0.54,0
0.64,-0.0014803,0.097116,0,0.99639,-0.0072809,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.01275,0.01275,0.54,0
0.64,-0.0014874,0.097111,0,0.99628,-0.0075231,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.0153,0.0153,0.54,0
0.64,-0.0014945,0.097106,0,0.99616,-0.0077653,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.01785,0.01785,0.54,0
0.64,-0.0015015,0.097101,0,0.99604,-0.0080075,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.0204,0.0204,0.54,0
0.64,-0.0015086,0.097096,0,0.99592,-0.0082497,0.00093432,0.0032958,0,-0.003569,0.018198,0,0,0,0,1,0.02295,0.02295,0.54,0
0.64,-0.0015158,0.097091,0,0.99583,-0.0084494,0.0016506,0.0026188,0,-0.0021591,0.019525,0,0,0,0,1,0.0255,0.0255,0.54,0
0.64,-0.0015234,0.097088,0,0.99581,-0.0084746,0.0016506,0.0026188,0,-0.0021591,0.019525,0,0,0,0,1,0.02805,0.02805,0.54,0
0.64,-0.001531,0.097085,0,0.9958,-0.0084999,0.0016506,0.0026188,0,-0.0021591,0.019525,0,0,0,0,1,0.0306,0.0306,0.54,0
0.64,-0.0015386,0.097082,0,0.99578,-0.0085252,0.0016506,0.0026188,0,-0.0021591,0.019525,0,0,0,0,1,0.03315,0.03315,0.54,0
