"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.0011113,0.096685,0,0.99431,-0.01223,-0.0024446,-0.027508,0,0.024066,0.022074,0,0,0,0,1,0,0,0.54,0
0.64,-0.0011386,0.096705,0,0.99386,-0.013168,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.00255,0.00255,0.54,0
0.64,-0.0011659,0.096726,0,0.99341,-0.014105,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.0051,0.0051,0.54,0
0.64,-0.0011931,0.096747,0,0.99296,-0.015042,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.00765,0.00765,0.54,0
0.64,-0.0012204,0.096767,0,0.99251,-0.015979,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.0102,0.0102,0.54,0
0.64,-0.0012477,0.096788,0,0.99206,-0.016917,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.01275,0.01275,0.54,0
0.64,-0.0012749,0.096809,0,0.99161,-0.017854,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.0153,0.0153,0.54,0
0.64,-0.0013022,0.096829,0,0.99116,-0.018791,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.01785,0.01785,0.54,0
0.64,-0.0013295,0.09685,0,0.99071,-0.019729,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.0204,0.0204,0.54,0
0.64,-0.0013567,0.096871,0,0.99026,-0.020666,-0.0027788,-0.0093221,0,0.0022795,0.015918,0,0,0,0,1,0.02295,0.02295,0.54,0
0.64,-0.0013831,0.096888,0,0.98987,-0.021472,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.0255,0.0255,0.54,0
0.64,-0.0014057,0.096894,0,0.98972,-0.02174,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.02805,0.02805,0.54,0
0.64,-0.0014282,0.0969,0,0.98956,-0.022008,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.0306,0.0306,0.54,0
0.64,-0.0014508,0.096905,0,0.98941,-0.022276,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.03315,0.03315,0.54,0
0.64,-0.0014734,0.096911,0,0.98926,-0.022544,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.0357,0.0357,0.54,0
0.64,-0.001496,0.096916,0,0.98911,-0.022812,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.03825,0.03825,0.54,0
0.64,-0.0015185,0.096922,0,0.98896,-0.02308,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.0408,0.0408,0.54,0
0.64,-0.0015411,0.096927,0,0.9888,-0.023348,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.04335,0.04335,0.54,0
0.64,-0.0015637,0.096933,0,0.98865,-0.023616,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.0459,0.0459,0.54,0
0.64,-0.0015863,0.096938,0,0.9885,-0.023884,-0.00132,-0.0035322,0,-0.00064794,0.016943,0,0,0,0,1,0.04845,0.04845,0.54,0
0.64,-0.0016063,0.096943,0,0.98838,-0.024109,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.051,0.051,0.54,0
0.64,-0.0016224,0.096945,0,0.98831,-0.024267,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.05355,0.05355,0.54,0
0.64,-0.0016385,0.096947,0,0.98824,-0.024424,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.0561,0.0561,0.54,0
0.64,-0.0016546,0.096949,0,0.98817,-0.024582,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.05865,0.05865,0.54,0
0.64,-0.0016706,0.096951,0,0.98809,-0.02474,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.0612,0.0612,0.54,0
0.64,-0.0016867,0.096953,0,0.98802,-0.024897,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.06375,0.06375,0.54,0
0.64,-0.0017028,0.096955,0,0.98795,-0.025055,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.0663,0.0663,0.54,0
0.64,-0.0017189,0.096958,0,0.98788,-0.025213,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.06885,0.06885,0.54,0
0.64,-0.001735,0.09696,0,0.98781,-0.02537,-2.8994e-05,-0.0011571,0,-0.0009764,0.017377,0,0,0,0,1,0.0714,0.0714,0.54,0
