"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034866,0.10084,0,1,1,3.2738e-06,1.8331e-06,-9.4058e-06,0,-9.4129e-06,1.5174e-05,0,0,0,0,1,0,-2.5,0,0
0.034866,0.10084,0,1,1,2.393e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0025001,-2.4975,0,0
0.034866,0.10084,0,1,1,1.5122e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0050001,-2.495,0,0
0.034866,0.10084,0,1,1,6.315e-07,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0074999,-2.4925,0,0
0.034866,0.10083,0,1,1,-2.4929e-07,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.01,-2.49,0,0
0.034866,0.10083,0,1,1,-1.1301e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0125,-2.4875,0,0
0.034866,0.10083,0,1,1,-2.0109e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.015,-2.485,0,0
0.034866,0.10083,0,1,1,-2.8916e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0175,-2.4825,0,0
0.034866,0.10083,0,1,1,-3.7724e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.02,-2.48,0,0
0.034866,0.10083,0,1,1,-4.6532e-06,5.8786e-06,-9.479e-06,0,-9.4838e-06,5.4291e-06,0,0,0,0,1,0.0225,-2.4775,0,0
0.034866,0.10083,0,1,1,-5.534e-06,1.3075e-05,-2.5773e-05,0,-2.5782e-05,6.9796e-06,0,0,0,0,1,0.025,-2.475,0,0
0.034866,0.10083,0,1,1,-6.9585e-06,2.7911e-05,-1.7227e-05,0,-1.7239e-05,1.6166e-06,0,0,0,0,1,0.0275,-2.4725,0,0
0.034866,0.10083,0,1,1,-8.3831e-06,2.7911e-05,-1.7227e-05,0,-1.7239e-05,1.6166e-06,0,0,0,0,1,0.03,-2.47,0,0
0.034866,0.10082,0,1,1,-9.8077e-06,2.7911e-05,-1.7227e-05,0,-1.7239e-05,1.6166e-06,0,0,0,0,1,0.0325,-2.4675,0,0
0.034866,0.10082,0,0.99999,1,-1.1232e-05,2.7911e-05,-1.7227e-05,0,-1.7239e-05,1.6166e-06,0,0,0,0,1,0.035,-2.465,0,0
0.034866,0.10082,0,0.99999,1,-1.2657e-05,2.7911e-05,-1.7227e-05,0,-1.7239e-05,1.6166e-06,0,0,0,0,1,0.0375,-2.4625,0,0
