"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,0.0024212,0.094845,0,0.97771,-0.11174,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0,0,0.54,0
0.64,0.0023621,0.0949,0,0.97768,-0.10983,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.00255,0.00255,0.54,0
0.64,0.0023031,0.094956,0,0.97765,-0.10792,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.0051,0.0051,0.54,0
0.64,0.0022441,0.095012,0,0.97762,-0.10601,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.00765,0.00765,0.54,0
0.64,0.0021851,0.095067,0,0.9776,-0.1041,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.0102,0.0102,0.54,0
0.64,0.002126,0.095123,0,0.97757,-0.10219,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.01275,0.01275,0.54,0
0.64,0.002067,0.095179,0,0.97754,-0.10028,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.0153,0.0153,0.54,0
0.64,0.002008,0.095234,0,0.97751,-0.098366,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.01785,0.01785,0.54,0
0.64,0.001949,0.09529,0,0.97748,-0.096455,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.0204,0.0204,0.54,0
0.64,0.0018899,0.095346,0,0.97746,-0.094545,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0.02295,0.02295,0.54,0
0.64,0.0018323,0.095395,0,0.97739,-0.093132,0.0027676,-0.0040195,0,0.00257,0.019757,0,0,0,0,1,0.0255,0.0255,0.54,0
0.64,0.0017803,0.095415,0,0.97716,-0.093757,0.0027676,-0.0040195,0,0.00257,0.019757,0,0,0,0,1,0.02805,0.02805,0.54,0
0.64,0.0017283,0.095436,0,0.97694,-0.094382,0.0027676,-0.0040195,0,0.00257,0.019757,0,0,0,0,1,0.0306,0.0306,0.54,0
0.64,0.0016763,0.095456,0,0.97671,-0.095008,0.0027676,-0.0040195,0,0.00257,0.019757,0,0,0,0,1,0.03315,0.03315,0.54,0
0.64,0.0016243,0.095477,0,0.97648,-0.095633,0.0027676,-0.0040195,0,0.00257,0.019757,0,0,0,0,1,0.0357,0.0357,0.54,0
