"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.030682,-0.1,0,0.99758,1,-0.0048415,0.014033,-0.00014417,0,-0.00014266,0.0006426,0,0,0,0,1,0,-1,-1,0
0,0.030682,-0.1,0,0.99758,1,-0.0048411,0.014033,-0.00014417,0,-0.00014266,0.0006426,0,0,0,0,1,0.002,-1,-0.998,0
0,0.030682,-0.10001,0,0.99758,1,-0.0048406,0.014033,-0.00014417,0,-0.00014266,0.0006426,0,0,0,0,1,0.004,-1,-0.996,0
0,0.030681,-0.10001,0,0.99758,1,-0.0048402,0.014033,-0.00014417,0,-0.00014266,0.0006426,0,0,0,0,1,0.006,-1,-0.994,0
0,0.030681,-0.10002,0,0.99758,1,-0.0048397,0.014033,-0.00014417,0,-0.00014266,0.0006426,0,0,0,0,1,0.008,-1,-0.992,0
0,0.030681,-0.10002,0,0.99758,1,-0.0048393,0.014018,-0.00036044,0,-0.00035667,0.00064148,0,0,0,0,1,0.01,-1,-0.99,0
0,0.03068,-0.10003,0,0.99758,1,-0.004838,0.014018,-0.00036044,0,-0.00035667,0.00064148,0,0,0,0,1,0.012,-1,-0.988,0
0,0.030679,-0.10003,0,0.99758,1,-0.0048366,0.014018,-0.00036044,0,-0.00035667,0.00064148,0,0,0,0,1,0.014,-1,-0.986,0
0,0.030679,-0.10003,0,0.99758,1,-0.0048353,0.014018,-0.00036044,0,-0.00035667,0.00064148,0,0,0,0,1,0.016,-1,-0.984,0
0,0.030678,-0.10004,0,0.99758,1,-0.0048339,0.014018,-0.00036044,0,-0.00035667,0.00064148,0,0,0,0,1,0.018,-1,-0.982,0
0,0.030677,-0.10004,0,0.99758,1,-0.0048326,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.02,-1,-0.98,0
0,0.030676,-0.10005,0,0.99758,1,-0.0048304,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.022,-1,-0.978,0
0,0.030674,-0.10005,0,0.99758,1,-0.0048281,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.024,-1,-0.976,0
0,0.030673,-0.10006,0,0.99758,1,-0.0048259,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.026,-1,-0.974,0
0,0.030672,-0.10006,0,0.99759,1,-0.0048237,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.028,-1,-0.972,0
0,0.03067,-0.10006,0,0.99759,1,-0.0048214,0.013991,-0.00057658,0,-0.00057056,0.00063942,0,0,0,0,1,0.03,-1,-0.97,0
0,0.030669,-0.10007,0,0.99759,1,-0.0048183,0.013951,-0.00079254,0,-0.00078429,0.00063643,0,0,0,0,1,0.032,-1,-0.968,0
0,0.030667,-0.10007,0,0.99759,1,-0.0048152,0.013951,-0.00079254,0,-0.00078429,0.00063643,0,0,0,0,1,0.034,-1,-0.966,0
