"Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032106,0.10083,0,1,2.4167e-07,8.0031e-08,1.8292e-07,0,1.8296e-07,-1.8283e-07,0,0,0,0,1,0,-2.5,0,0
0.032106,0.10083,0,1,3.8122e-07,-1.8293e-07,1.828e-07,0,1.8284e-07,7.9493e-08,0,0,0,0,1,0.0025001,-2.4975,0,0
0.032106,0.10083,0,1,5.2077e-07,-1.8293e-07,1.828e-07,0,1.8284e-07,7.9493e-08,0,0,0,0,1,0.0050001,-2.495,0,0
0.032106,0.10082,0,1,4.981e-07,-3.3419e-07,-3.1534e-08,0,-3.145e-08,1.3478e-07,0,0,0,0,1,0.0074999,-2.4925,0,0
0.032106,0.10082,0,1,4.7544e-07,1.9635e-06,-1.0507e-06,0,-1.0516e-06,1.9952e-07,0,0,0,0,1,0.01,-2.49,0,0
0.032106,0.10082,0,1,8.4729e-09,1.9635e-06,-1.0507e-06,0,-1.0516e-06,1.9952e-07,0,0,0,0,1,0.0125,-2.4875,0,0
0.032106,0.10082,0,1,-4.5849e-07,4.4519e-06,-1.4377e-06,0,-1.4397e-06,1.8856e-07,0,0,0,0,1,0.015,-2.485,0,0
0.032106,0.10082,0,1,-1.6663e-06,4.4519e-06,-1.4377e-06,0,-1.4397e-06,1.8856e-07,0,0,0,0,1,0.0175,-2.4825,0,0
0.032106,0.10082,0,1,-2.8743e-06,4.4519e-06,-1.4377e-06,0,-1.4397e-06,1.8856e-07,0,0,0,0,1,0.02,-2.48,0,0
0.032106,0.10082,0,1,-4.3889e-06,1.1992e-05,-2.3571e-06,0,-2.3623e-06,1.2793e-07,0,0,0,0,1,0.0225,-2.4775,0,0
0.032106,0.10082,0,1,-5.9036e-06,1.1992e-05,-2.3571e-06,0,-2.3623e-06,1.2793e-07,0,0,0,0,1,0.025,-2.475,0,0
0.032106,0.10082,0,1,-7.8889e-06,1.6975e-05,-2.6265e-06,0,-2.6338e-06,1.4357e-07,0,0,0,0,1,0.0275,-2.4725,0,0
0.032106,0.10082,0,1,-9.8744e-06,2.8426e-05,-3.2092e-06,0,-3.2214e-06,9.5947e-08,0,0,0,0,1,0.03,-2.47,0,0
0.032106,0.10081,0,1,-1.2202e-05,2.8426e-05,-3.2092e-06,0,-3.2214e-06,9.5947e-08,0,0,0,0,1,0.0325,-2.4675,0,0
0.032106,0.10081,0,1,-1.453e-05,3.4556e-05,-6.6261e-06,0,-6.6409e-06,1.8569e-07,0,0,0,0,1,0.035,-2.465,0,0
0.032106,0.10081,0,1,-1.6891e-05,3.8261e-05,-3.4867e-06,0,-3.503e-06,2.6848e-08,0,0,0,0,1,0.0375,-2.4625,0,0
0.032106,0.10081,0,1,-1.9253e-05,4.5321e-05,-3.5732e-06,0,-3.5925e-06,6.2689e-08,0,0,0,0,1,0.04,-2.46,0,0
0.032106,0.10081,0,1,-2.1884e-05,4.5321e-05,-3.5732e-06,0,-3.5925e-06,6.2689e-08,0,0,0,0,1,0.0425,-2.4575,0,0
0.032106,0.10081,0,1,-2.4516e-05,4.5321e-05,-3.5732e-06,0,-3.5925e-06,6.2689e-08,0,0,0,0,1,0.045,-2.455,0,0
0.032106,0.10081,0,1,-2.7187e-05,5.9723e-05,-3.7611e-06,0,-3.7864e-06,-1.103e-08,0,0,0,0,1,0.0475,-2.4525,0,0
0.032106,0.10081,0,1,-2.9859e-05,6.7272e-05,-3.7887e-06,0,-3.8172e-06,4.178e-08,0,0,0,0,1,0.05,-2.45,0,0
0.032107,0.10081,0,1,-3.2599e-05,6.7272e-05,-3.7887e-06,0,-3.8172e-06,4.178e-08,0,0,0,0,1,0.0525,-2.4475,0,0
0.032107,0.1008,0,1,-3.534e-05,7.5042e-05,-7.3929e-06,0,-7.4243e-06,-5.6505e-08,0,0,0,0,1,0.055,-2.445,0,0
0.032107,0.1008,0,1,-3.8056e-05,8.2074e-05,-3.7761e-06,0,-3.8106e-06,-3.8511e-08,0,0,0,0,1,0.0575,-2.4425,0,0
0.032107,0.1008,0,1,-4.0772e-05,8.959e-05,-3.7394e-06,0,-3.7768e-06,4.7344e-09,0,0,0,0,1,0.06,-2.44,0,0
0.032107,0.1008,0,1,-4.3406e-05,8.959e-05,-3.7394e-06,0,-3.7768e-06,4.7344e-09,0,0,0,0,1,0.0625,-2.4375,0,0
0.032107,0.1008,0,1,-4.6039e-05,9.5558e-05,-7.0668e-06,0,-7.1062e-06,-1.13e-07,0,0,0,0,1,0.065,-2.435,0,0
0.032107,0.1008,0,1,-4.8734e-05,0.00010388,-3.5752e-06,0,-3.6181e-06,-2.2198e-08,0,0,0,0,1,0.0675,-2.4325,0,0
0.032107,0.1008,0,1,-5.1428e-05,0.00010539,-6.794e-06,0,-6.837e-06,-1.3027e-07,0,0,0,0,1,0.07,-2.43,0,0
0.032107,0.1008,0,1,-5.3819e-05,0.00011425,-3.419e-06,0,-3.4656e-06,-7.6187e-08,0,0,0,0,1,0.0725,-2.4275,0,0
0.032107,0.1008,0,1,-5.621e-05,0.00012098,-3.3061e-06,0,-3.3551e-06,-3.4352e-08,0,0,0,0,1,0.075,-2.425,0,0
0.032107,0.1008,0,1,-5.8567e-05,0.00012098,-3.3061e-06,0,-3.3551e-06,-3.4352e-08,0,0,0,0,1,0.0775,-2.4225,0,0
0.032107,0.10079,0,1,-6.0924e-05,0.00013329,-2.9852e-06,0,-3.0382e-06,-8.5563e-08,0,0,0,0,1,0.08,-2.42,0,0
0.032107,0.10079,0,1,-6.3125e-05,0.00013329,-2.9852e-06,0,-3.0382e-06,-8.5563e-08,0,0,0,0,1,0.0825,-2.4175,0,0
0.032108,0.10079,0,1,-6.5325e-05,0.00013329,-2.9852e-06,0,-3.0382e-06,-8.5563e-08,0,0,0,0,1,0.085,-2.415,0,0
0.032108,0.10079,0,1,-6.7345e-05,0.00013914,-2.8612e-06,0,-2.916e-06,-3.6666e-08,0,0,0,0,1,0.0875,-2.4125,0,0
0.032108,0.10079,0,1,-6.9365e-05,0.0001495,-2.4645e-06,0,-2.522e-06,-9.8979e-08,0,0,0,0,1,0.09,-2.41,0,0
0.032108,0.10079,0,1,-7.1213e-05,0.0001495,-2.4645e-06,0,-2.522e-06,-9.8979e-08,0,0,0,0,1,0.0925,-2.4075,0,0
0.032108,0.10079,0,1,-7.306e-05,0.00015427,-2.3057e-06,0,-2.3642e-06,-5.8739e-08,0,0,0,0,1,0.095,-2.405,0,0
0.032108,0.10079,0,1,-7.4675e-05,0.00015427,-2.3057e-06,0,-2.3642e-06,-5.8739e-08,0,0,0,0,1,0.0975,-2.4025,0,0
0.032108,0.10079,0,1,-7.6289e-05,0.00016232,-1.8536e-06,0,-1.9136e-06,-1.0762e-07,0,0,0,0,1,0.1,-2.4,0,0
0.032108,0.10079,0,1,-7.7721e-05,0.00016232,-1.8536e-06,0,-1.9136e-06,-1.0762e-07,0,0,0,0,1,0.1025,-2.3975,0,0
0.032108,0.10078,0,1,-7.9153e-05,0.00016232,-1.8536e-06,0,-1.9136e-06,-1.0762e-07,0,0,0,0,1,0.105,-2.395,0,0
0.032108,0.10078,0,1,-8.031e-05,0.00016585,-1.674e-06,0,-1.7344e-06,-7.1506e-08,0,0,0,0,1,0.1075,-2.3925,0,0
0.032109,0.10078,0,1,-8.1466e-05,0.00017133,-1.1721e-06,0,-1.2325e-06,-1.0858e-07,0,0,0,0,1,0.11,-2.39,0,0
0.032109,0.10078,0,1,-8.2436e-05,0.00017133,-1.1721e-06,0,-1.2325e-06,-1.0858e-07,0,0,0,0,1,0.1125,-2.3875,0,0
0.032109,0.10078,0,1,-8.3406e-05,0.00017349,-9.9371e-07,0,-1.0539e-06,-7.005e-08,0,0,0,0,1,0.115,-2.385,0,0
0.032109,0.10078,0,1,-8.4096e-05,0.00017349,-9.9371e-07,0,-1.0539e-06,-7.005e-08,0,0,0,0,1,0.1175,-2.3825,0,0
0.032109,0.10078,0,1,-8.4786e-05,0.00017617,-4.5916e-07,0,-5.1805e-07,-1.1437e-07,0,0,0,0,1,0.12,-2.38,0,0
0.032109,0.10078,0,1,-8.5269e-05,0.00017617,-4.5916e-07,0,-5.1805e-07,-1.1437e-07,0,0,0,0,1,0.1225,-2.3775,0,0
0.032109,0.10078,0,1,-8.5753e-05,0.00017617,-4.5916e-07,0,-5.1805e-07,-1.1437e-07,0,0,0,0,1,0.125,-2.375,0,0
0.032109,0.10078,0,1,-8.5904e-05,0.00017689,-2.6005e-07,0,-3.1801e-07,-8.5669e-08,0,0,0,0,1,0.1275,-2.3725,0,0
0.03211,0.10078,0,1,-8.6056e-05,0.00017661,2.9874e-07,0,2.4325e-07,-9.1233e-08,0,0,0,0,1,0.13,-2.37,0,0
0.03211,0.10078,0,1,-8.6056e-05,0.00017661,2.9874e-07,0,2.4325e-07,-9.1233e-08,0,0,0,0,1,0.1325,-2.3675,0,0
0.03211,0.10077,0,1,-8.6056e-05,0.00016301,1.1801e-06,0,1.1301e-06,-2.9963e-07,0,0,0,0,1,0.135,-2.365,0,0
0.03211,0.10077,0,1,-8.5678e-05,0.00017513,6.8728e-07,0,6.3411e-07,-1.1785e-07,0,0,0,0,1,0.1375,-2.3625,0,0
0.03211,0.10077,0,1,-8.53e-05,0.00017355,8.9457e-07,0,8.4316e-07,-9.1198e-08,0,0,0,0,1,0.14,-2.36,0,0
0.03211,0.10077,0,1,-8.4684e-05,0.00017355,8.9457e-07,0,8.4316e-07,-9.1198e-08,0,0,0,0,1,0.1425,-2.3575,0,0
0.03211,0.10077,0,1,-8.4069e-05,0.00016864,1.4853e-06,0,1.4378e-06,-1.1456e-07,0,0,0,0,1,0.145,-2.355,0,0
0.032111,0.10077,0,1,-8.3209e-05,0.00016864,1.4853e-06,0,1.4378e-06,-1.1456e-07,0,0,0,0,1,0.1475,-2.3525,0,0
0.032111,0.10077,0,1,-8.235e-05,0.00016864,1.4853e-06,0,1.4378e-06,-1.1456e-07,0,0,0,0,1,0.15,-2.35,0,0
0.032111,0.10077,0,1,-8.1161e-05,0.00016546,1.6868e-06,0,1.6415e-06,-8.9148e-08,0,0,0,0,1,0.1525,-2.3475,0,0
0.032111,0.10077,0,1,-7.9972e-05,0.00015736,2.2893e-06,0,2.2486e-06,-9.8644e-08,0,0,0,0,1,0.155,-2.345,0,0
0.032111,0.10077,0,1,-7.8595e-05,0.00015736,2.2893e-06,0,2.2486e-06,-9.8644e-08,0,0,0,0,1,0.1575,-2.3425,0,0
0.032111,0.10077,0,1,-7.7218e-05,0.00013799,5.1593e-06,0,5.1247e-06,-3.0395e-07,0,0,0,0,1,0.16,-2.34,0,0
0.032111,0.10077,0,1,-7.5474e-05,0.00014991,2.6881e-06,0,2.6512e-06,-1.2247e-07,0,0,0,0,1,0.1625,-2.3375,0,0
0.032111,0.10077,0,1,-7.373e-05,0.00014991,2.6881e-06,0,2.6512e-06,-1.2247e-07,0,0,0,0,1,0.165,-2.335,0,0
0.032111,0.10077,0,1,-7.1705e-05,0.00014431,2.9132e-06,0,2.8789e-06,-1.0522e-07,0,0,0,0,1,0.1675,-2.3325,0,0
0.032112,0.10077,0,1,-6.968e-05,0.00013132,3.5178e-06,0,3.4887e-06,-1.005e-07,0,0,0,0,1,0.17,-2.33,0,0
0.032112,0.10076,0,1,-6.744e-05,0.00013132,3.5178e-06,0,3.4887e-06,-1.005e-07,0,0,0,0,1,0.1725,-2.3275,0,0
0.032112,0.10076,0,1,-6.5198e-05,0.00010867,7.6111e-06,0,7.5879e-06,-3.0909e-07,0,0,0,0,1,0.175,-2.325,0,0
0.032112,0.10076,0,1,-6.2611e-05,0.0001202,3.9233e-06,0,3.8983e-06,-1.2162e-07,0,0,0,0,1,0.1775,-2.3225,0,0
0.032112,0.10076,0,1,-6.0024e-05,0.00011212,4.1484e-06,0,4.126e-06,-1.0612e-07,0,0,0,0,1,0.18,-2.32,0,0
0.032112,0.10076,0,1,-5.7153e-05,0.00011212,4.1484e-06,0,4.126e-06,-1.0612e-07,0,0,0,0,1,0.1825,-2.3175,0,0
0.032112,0.10076,0,1,-5.4281e-05,9.4219e-05,4.7601e-06,0,4.7429e-06,-1.1448e-07,0,0,0,0,1,0.185,-2.315,0,0
0.032112,0.10076,0,1,-5.1162e-05,9.4219e-05,4.7601e-06,0,4.7429e-06,-1.1448e-07,0,0,0,0,1,0.1875,-2.3125,0,0
0.032112,0.10076,0,1,-4.8042e-05,9.4219e-05,4.7601e-06,0,4.7429e-06,-1.1448e-07,0,0,0,0,1,0.19,-2.31,0,0
0.032112,0.10076,0,1,-4.46e-05,8.4488e-05,4.9706e-06,0,4.9559e-06,-9.8593e-08,0,0,0,0,1,0.1925,-2.3075,0,0
0.032112,0.10076,0,1,-4.1158e-05,6.3289e-05,5.582e-06,0,5.5722e-06,-1.1771e-07,0,0,0,0,1,0.195,-2.305,0,0
0.032112,0.10076,0,1,-3.7481e-05,6.3289e-05,5.582e-06,0,5.5722e-06,-1.1771e-07,0,0,0,0,1,0.1975,-2.3025,0,0
0.032113,0.10076,0,1,-3.3804e-05,5.1905e-05,5.8019e-06,0,5.7943e-06,-1.0439e-07,0,0,0,0,1,0.2,-2.3,0,0
0.032113,0.10076,0,1,-2.9784e-05,5.1905e-05,5.8019e-06,0,5.7943e-06,-1.0439e-07,0,0,0,0,1,0.2025,-2.2975,0,0
0.032113,0.10076,0,1,-2.5766e-05,2.741e-05,6.4085e-06,0,6.405e-06,-1.157e-07,0,0,0,0,1,0.205,-2.295,0,0
0.032113,0.10076,0,1,-2.1516e-05,2.741e-05,6.4085e-06,0,6.405e-06,-1.157e-07,0,0,0,0,1,0.2075,-2.2925,0,0
0.032113,0.10076,0,1,-1.7267e-05,1.4374e-05,6.6271e-06,0,6.6254e-06,-1.0477e-07,0,0,0,0,1,0.21,-2.29,0,0
0.032113,0.10076,0,1,-1.2682e-05,1.4374e-05,6.6271e-06,0,6.6254e-06,-1.0477e-07,0,0,0,0,1,0.2125,-2.2875,0,0
0.032113,0.10076,0,1,-8.0969e-06,-1.3406e-05,7.2316e-06,0,7.2329e-06,-1.1397e-07,0,0,0,0,1,0.215,-2.285,0,0
0.032113,0.10076,0,1,-3.2815e-06,-1.3406e-05,7.2316e-06,0,7.2329e-06,-1.1397e-07,0,0,0,0,1,0.2175,-2.2825,0,0
0.032113,0.10076,0,1,1.5338e-06,-1.3406e-05,7.2316e-06,0,7.2329e-06,-1.1397e-07,0,0,0,0,1,0.22,-2.28,0,0
0.032113,0.10076,0,1,6.6837e-06,-2.8086e-05,7.4491e-06,0,7.4517e-06,-1.0479e-07,0,0,0,0,1,0.2225,-2.2775,0,0
0.032113,0.10076,0,1,1.1833e-05,-5.9137e-05,8.0509e-06,0,8.0552e-06,-1.1185e-07,0,0,0,0,1,0.225,-2.275,0,0
0.032113,0.10076,0,1,1.7212e-05,-5.9137e-05,8.0509e-06,0,8.0552e-06,-1.1185e-07,0,0,0,0,1,0.2275,-2.2725,0,0
0.032113,0.10076,0,1,2.259e-05,-7.5454e-05,8.2668e-06,0,8.2716e-06,-1.0452e-07,0,0,0,0,1,0.23,-2.27,0,0
0.032113,0.10076,0,1,2.8303e-05,-7.5454e-05,8.2668e-06,0,8.2716e-06,-1.0452e-07,0,0,0,0,1,0.2325,-2.2675,0,0
0.032113,0.10076,0,1,3.4014e-05,-0.00010976,8.8654e-06,0,8.8701e-06,-1.0826e-07,0,0,0,0,1,0.235,-2.265,0,0
0.032113,0.10076,0,1,3.9953e-05,-0.00010976,8.8654e-06,0,8.8701e-06,-1.0826e-07,0,0,0,0,1,0.2375,-2.2625,0,0
0.032112,0.10076,0,1,4.5891e-05,-0.0001277,9.0768e-06,0,9.0811e-06,-1.027e-07,0,0,0,0,1,0.24,-2.26,0,0
0.032112,0.10076,0,0.99999,5.216e-05,-0.0001277,9.0768e-06,0,9.0811e-06,-1.027e-07,0,0,0,0,1,0.2425,-2.2575,0,0
0.032112,0.10076,0,0.99999,5.8428e-05,-0.0001277,9.0768e-06,0,9.0811e-06,-1.027e-07,0,0,0,0,1,0.245,-2.255,0,0
0.032112,0.10076,0,0.99999,6.4928e-05,-0.00016524,9.6789e-06,0,9.6813e-06,-1.0221e-07,0,0,0,0,1,0.2475,-2.2525,0,0
